"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"93",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,60.6,46.8,0.558558558558559
"94",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,63.7,54.2,0.644144144144144
"95",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,65.6,64.3,0.439189189189189
"96",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,68.6,66.2,0.556306306306306
"97",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,67.8,59.7,0.869369369369369
"98",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,66.1,57.9,0.434684684684685
"99",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,52.5,42.3,0.391891891891892
"100",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,49.9,42.9,0.155405405405405
"101",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,53.8,48.5,0.592342342342342
"102",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,58.2,53.8,0.75
"103",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,53.4,35.3,0.788288288288288
"104",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,51.2,35.9,0.646396396396396
"105",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,45.2,25.9,0.540540540540541
"106",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,58.7,45.9,0.472972972972973
"107",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,65.3,57.8,0.675675675675676
"108",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,55.8,42.5,0.664414414414414
"109",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,51.9,38,0.693693693693694
"110",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,56.8,46.7,0.727477477477477
"111",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,63.2,61.1,0.970720720720721
"112",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,62.7,58.6,0.630630630630631
"113",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,56.5,39,0.268018018018018
"114",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,57.8,40.1,0.68018018018018
"115",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,59,44.9,0.484234234234234
"116",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,57.1,53.5,0.421171171171171
"117",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2012,58,51.3,0.459459459459459
"118",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2012,60.8,53.4,0.655405405405405
"119",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2012,61.9,53.9,0.488738738738739
"120",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2012,57.7,50,0.216216216216216
"121",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2012,53.9,48.9,0.146396396396396
"122",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2012,49.7,43.2,0.545045045045045
"123",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,47.7,37.4,0.297297297297297
"124",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,48.2,36,0.0855855855855856
"125",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,44.7,30.1,0
"126",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,43.2,29.6,0.0833333333333333
"127",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,42.3,27.3,0.387387387387387
"128",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,36.6,17.4,0.466216216216216
"129",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,37.1,27.1,0.925675675675676
"130",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,41.2,35.1,0.547297297297297
"131",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,43.3,25.8,0.858108108108108
"132",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,48,35,0.308558558558559
"133",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,54.7,45.1,0.493243243243243
"134",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,56.7,50.2,0.540540540540541
"135",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,52.4,47.5,0.768018018018018
"136",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,42.8,29.9,0.716216216216216
